Publisher_name;Publisher_address;Contact_details
Kensington Publishing Corp.;1819 Madeup Drive, Mumbai, India;Email: help@publisher5.de
Dark Horse Comics;1415 Random Path, Tokyo, Japan;Email: help@publisher5.de
HarperCollins UK;2021 Imaginary Route, Rome, Italy;Email: info@publisher2.co.uk
Titan Books;789 Main Ave, Toronto, Canada;Email: help@publisher5.de
Tor Books;123 Random Street, New York, USA;Phone: +1-800-123-4567
HarperCollins;1011 Fake Boulevard, Paris, France;Phone: +44-20-7890-1234
Pan Macmillan;1819 Madeup Drive, Mumbai, India;Phone: +33-1-2345-6789
Hachette UK;1415 Random Path, Tokyo, Japan;Phone: +1-800-123-4567
Blake Pierce;789 Main Ave, Toronto, Canada;Email: info@publisher2.co.uk
Marvel Entertainment;1819 Madeup Drive, Mumbai, India;Email: info@publisher2.co.uk
Tor Fantasy;1415 Random Path, Tokyo, Japan;Email: service@publisher3.ca
IDW Publishing;456 Another Road, London, UK;Email: info@publisher2.co.uk
Kodansha America LLC;456 Another Road, London, UK;Phone: +49-30-1234-5678
Bookouture;1819 Madeup Drive, Mumbai, India;Email: service@publisher3.ca
Harper Collins;1819 Madeup Drive, Mumbai, India;Phone: +49-30-1234-5678
Icon Books;123 Random Street, New York, USA;Email: help@publisher5.de
Del Rey;456 Another Road, London, UK;Phone: +1-800-123-4567
Random House;2021 Imaginary Route, Rome, Italy;Email: help@publisher5.de
Penguin;2223 Fantasy Street, Moscow, Russia;Phone: +49-30-1234-5678
e-artnow;1617 Fictional Way, Sydney, Australia;Phone: +49-30-1234-5678
Broadway Books;2021 Imaginary Route, Rome, Italy;Phone: +33-1-2345-6789
Morgan Rice;1617 Fictional Way, Sydney, Australia;Email: service@publisher3.ca
Simon and Schuster;1617 Fictional Way, Sydney, Australia;Phone: +1-800-123-4567
Red Wheel/Weiser;789 Main Ave, Toronto, Canada;Phone: +44-20-7890-1234
Kensington Books;2223 Fantasy Street, Moscow, Russia;Email: service@publisher3.ca
DC;2021 Imaginary Route, Rome, Italy;Email: contact@publisher1.com
Clarkson Potter;456 Another Road, London, UK;Email: contact@publisher1.com
Kings Road Publishing;1213 Example Lane, Berlin, Germany;Email: info@publisher2.co.uk
Profile Books;1011 Fake Boulevard, Paris, France;Phone: +44-20-7890-1234
AMACOM;123 Random Street, New York, USA;Phone: +44-20-7890-1234
Bantam;2021 Imaginary Route, Rome, Italy;Phone: +49-30-1234-5678
Kogan Page Publishers;1011 Fake Boulevard, Paris, France;Email: info@publisher2.co.uk
Kodansha Comics;1213 Example Lane, Berlin, Germany;Email: support@publisher4.fr
Penguin UK;1415 Random Path, Tokyo, Japan;Email: contact@publisher1.com
Andrews McMeel Publishing;1213 Example Lane, Berlin, Germany;Email: service@publisher3.ca
DGS;1011 Fake Boulevard, Paris, France;Phone: +1-800-123-4567
Currency;1819 Madeup Drive, Mumbai, India;Phone: +33-1-2345-6789
DC Comics;1011 Fake Boulevard, Paris, France;Email: service@publisher3.ca
Courier Corporation;1415 Random Path, Tokyo, Japan;Email: service@publisher3.ca
Wizards of the Coast;1617 Fictional Way, Sydney, Australia;Phone: +49-30-1234-5678
Metropolitan Books;456 Another Road, London, UK;Phone: +1-800-123-4567
One Acre Press;1011 Fake Boulevard, Paris, France;Phone: +44-20-7890-1234
Island Books;456 Another Road, London, UK;Phone: +49-30-1234-5678
Penguin Group;1011 Fake Boulevard, Paris, France;Email: support@publisher4.fr
Michael Manning;1617 Fictional Way, Sydney, Australia;Phone: +49-30-1234-5678
Berrett-Koehler Publishers;2021 Imaginary Route, Rome, Italy;Phone: +1-800-789-0123
EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA;1415 Random Path, Tokyo, Japan;Email: support@publisher4.fr
Ballantine Books;1415 Random Path, Tokyo, Japan;Phone: +1-800-789-0123
Tim Duggan Books;789 Main Ave, Toronto, Canada;Email: support@publisher4.fr
Macmillan;1213 Example Lane, Berlin, Germany;Email: service@publisher3.ca
Sara Rosett;2021 Imaginary Route, Rome, Italy;Phone: +33-1-2345-6789
HarperCollins Leadership;456 Another Road, London, UK;Phone: +44-20-7890-1234
Doubleday;1819 Madeup Drive, Mumbai, India;Email: info@publisher2.co.uk
Harlequin;2223 Fantasy Street, Moscow, Russia;Phone: +44-20-7890-1234
W. W. Norton & Company;1213 Example Lane, Berlin, Germany;Phone: +33-1-2345-6789
Houghton Mifflin Harcourt;2223 Fantasy Street, Moscow, Russia;Phone: +33-1-2345-6789
Abrams;2021 Imaginary Route, Rome, Italy;Email: contact@publisher1.com
BookRix;1617 Fictional Way, Sydney, Australia;Email: service@publisher3.ca
Farrar, Straus and Giroux;789 Main Ave, Toronto, Canada;Email: info@publisher2.co.uk
Dark Horse Comics (Single Issues);1617 Fictional Way, Sydney, Australia;Phone: +44-20-7890-1234
Minotaur Books;2223 Fantasy Street, Moscow, Russia;Email: help@publisher5.de
Strelbytskyy Multimedia Publishing;2223 Fantasy Street, Moscow, Russia;Phone: +33-1-2345-6789
Hay House, Inc;1819 Madeup Drive, Mumbai, India;Phone: +1-800-123-4567
Dell;1617 Fictional Way, Sydney, Australia;Phone: +49-30-1234-5678
Nine99 Innovation Lab (OPC) Pvt Ltd;123 Random Street, New York, USA;Email: support@publisher4.fr
Jana DeLeon;2223 Fantasy Street, Moscow, Russia;Phone: +49-30-1234-5678
Bloomsbury Publishing;123 Random Street, New York, USA;Phone: +1-800-789-0123
Open Road Media;1819 Madeup Drive, Mumbai, India;Email: contact@publisher1.com
